# PVGIS-6 TMY data
# Location: 41.977N, 12.869E
# Elevation: 333m
# Source: PVGIS <https://joint-research-centre.ec.europa.eu/pvgis_en>
# Radiation database: PVGIS-SARAH2
# Nominal power of the PV system: 2000kW
# System losses: 12.0%
# Slope angle: 35 deg
# Azimuth angle: 0 deg (optimum)
#
time;P_Wh;G(i);H_sun;T2m;WS10m
2023-01-01T00:00:00;0.000;0.000;0;9.388;5.307
2023-01-01T01:00:00;0.000;0.000;0;16.053;2.778
2023-01-01T02:00:00;0.000;0.000;0;7.367;6.956
2023-01-01T03:00:00;0.000;0.000;0;14.445;1.718
2023-01-01T04:00:00;0.000;0.000;0;15.089;4.487
2023-01-01T05:00:00;0.000;0.000;0;14.500;2.496
2023-01-01T06:00:00;0.000;0.000;0;20.702;1.139
2023-01-01T07:00:00;316893.114;360105.811;1;19.887;1.809
2023-01-01T08:00:00;720135.356;818335.632;1;18.405;3.619
2023-01-01T09:00:00;922262.095;1048025.108;1;18.469;7.494
2023-01-01T10:00:00;1498689.617;1703056.383;1;15.007;0.542
2023-01-01T11:00:00;1441736.680;1638337.137;1;20.269;2.555
2023-01-01T12:00:00;1766423.638;2007299.589;1;19.586;4.109
2023-01-01T13:00:00;1663404.244;1890232.096;1;13.975;5.523
2023-01-01T14:00:00;1213423.688;1378890.554;1;15.381;2.008
2023-01-01T15:00:00;1206245.458;1370733.475;1;15.396;5.313
2023-01-01T16:00:00;690991.730;785217.874;1;13.457;3.092
2023-01-01T17:00:00;555596.322;631359.457;1;12.324;3.836
2023-01-01T18:00:00;350365.664;398142.800;1;9.885;1.440
2023-01-01T19:00:00;0.000;0.000;1;11.015;1.842
2023-01-01T20:00:00;0.000;0.000;0;12.132;2.917
2023-01-01T21:00:00;0.000;0.000;0;8.626;5.186
2023-01-01T22:00:00;0.000;0.000;0;14.629;4.112
2023-01-01T23:00:00;0.000;0.000;0;10.335;10.357
2023-01-02T00:00:00;0.000;0.000;0;9.948;5.853
2023-01-02T01:00:00;0.000;0.000;0;11.898;6.024
2023-01-02T02:00:00;0.000;0.000;0;14.212;4.027
2023-01-02T03:00:00;0.000;0.000;0;14.562;3.994
2023-01-02T04:00:00;0.000;0.000;0;12.013;3.304
2023-01-02T05:00:00;0.000;0.000;0;19.738;5.358
2023-01-02T06:00:00;0.000;0.000;0;14.162;4.654
2023-01-02T07:00:00;300080.146;341000.166;1;20.596;6.845
2023-01-02T08:00:00;621853.659;706651.885;1;16.730;5.999
2023-01-02T09:00:00;556697.127;632610.372;1;18.580;1.716
2023-01-02T10:00:00;1415270.241;1608261.638;1;20.115;3.072
2023-01-02T11:00:00;1789836.084;2033904.641;1;18.313;1.531
2023-01-02T12:00:00;1782545.436;2025619.813;1;17.571;4.584
2023-01-02T13:00:00;1310198.043;1488861.413;1;20.516;6.182
2023-01-02T14:00:00;1698552.664;1930173.482;1;18.274;5.156
2023-01-02T15:00:00;961833.902;1092993.071;1;18.379;6.059
2023-01-02T16:00:00;1488047.245;1690962.779;1;12.983;2.359
2023-01-02T17:00:00;754142.108;856979.668;1;12.499;5.961
2023-01-02T18:00:00;466441.630;530047.307;1;16.485;1.754
2023-01-02T19:00:00;0.000;0.000;1;10.292;4.309
2023-01-02T20:00:00;0.000;0.000;0;10.729;7.703
2023-01-02T21:00:00;0.000;0.000;0;9.687;2.909
2023-01-02T22:00:00;0.000;0.000;0;8.377;1.719
2023-01-02T23:00:00;0.000;0.000;0;7.791;5.437
2023-01-03T00:00:00;0.000;0.000;0;10.951;3.387
2023-01-03T01:00:00;0.000;0.000;0;9.596;5.764
2023-01-03T02:00:00;0.000;0.000;0;13.961;7.007
2023-01-03T03:00:00;0.000;0.000;0;13.718;2.494
2023-01-03T04:00:00;0.000;0.000;0;15.514;2.244
2023-01-03T05:00:00;0.000;0.000;0;16.503;4.649
2023-01-03T06:00:00;0.000;0.000;0;19.677;1.492
2023-01-03T07:00:00;377606.817;429098.656;1;20.328;4.758
2023-01-03T08:00:00;506863.717;575981.497;1;18.761;1.568
2023-01-03T09:00:00;1305044.295;1483004.881;1;18.869;6.196
2023-01-03T10:00:00;1034121.223;1175137.754;1;19.015;4.153
2023-01-03T11:00:00;1479706.152;1681484.264;1;22.217;5.411
2023-01-03T12:00:00;1852703.247;2105344.599;1;21.398;3.316
2023-01-03T13:00:00;1901208.702;2160464.434;1;17.411;3.087
2023-01-03T14:00:00;1589340.451;1806068.694;1;16.733;6.962
2023-01-03T15:00:00;1235234.710;1403675.806;1;15.717;5.602
2023-01-03T16:00:00;723927.659;822645.067;1;15.647;7.659
2023-01-03T17:00:00;433623.094;492753.516;1;14.685;2.257
2023-01-03T18:00:00;283007.376;321599.291;1;12.212;5.158
